건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도,지번주소,위도,경도
신축,서울특별시 서대문구 홍은동 407-25,대,156.68,90.65,343.68,2022-08-10,5,0,공동주택,공동체주택[도시형생활주택(다세대)-소형주택],홍은동 407-25,37.59296,126.93733
신축,서울특별시 서대문구 연희동 717-7,대,115.1,69.01,289.5,2022-07-11,4,1,제2종근린생활시설,일반음식점/사무소,연희동 717-7,37.54135,126.65988
신축,서울특별시 서대문구 천연동 129-1 외2필지,대,371.2,205.98,989.0,2022-07-01,5,2,제2종근린생활시설,,천연동 129-1,37.5682303,126.9605136
신축,서울특별시 서대문구 대현동 37-69,대,276.0,173.63,1811.14,2022-06-29,10,1,업무시설,근생및업무시설,대현동 37-69,37.56058,126.94496
신축,서울특별시 서대문구 영천동 70-9 외7필지,대,191.07,113.47,752.99,2022-06-29,9,0,공동주택,다세대주택및오피스텔및근생,영천동 70-9,37.1275137,128.2029241
신축,서울특별시 서대문구 대현동 110-78,대,126.3,60.85,198.79,2022-06-15,5,0,제2종근린생활시설,사무소,대현동 110-78,35.526350199999996,129.32716570682675
신축,서울특별시 서대문구 북가좌동 310-2,대,492.8,233.09,566.81,2022-06-08,3,0,제1종근린생활시설,파출소,북가좌동 310-2,37.57953,126.91156
신축,서울특별시 서대문구 연희동 88-28,대,175.5,87.06,379.63,2022-05-31,5,0,단독주택,다가구주택 및 제1.2종근린생활시설,연희동 88-28,37.54135,126.65988
신축,서울특별시 서대문구 남가좌동 74-39,대,116.0,69.44,230.71,2022-05-30,4,0,제2종근린생활시설,사무소,남가좌동 74-39,37.57744,126.9179
신축,서울특별시 서대문구 연희동 116-37,대,134.68,67.2,170.28,2022-05-27,2,1,단독주택,,연희동 116-37,37.54135,126.65988
신축,서울특별시 서대문구 홍제동 361-57,대,272.0,144.9,461.94,2022-05-25,5,0,공동주택,다세대주택,홍제동 361-57,37.5871,126.94676
신축,서울특별시 서대문구 홍은동 265-68,대,241.0,135.66,360.76,2022-05-23,5,0,공동주택,다세대주택,홍은동 265-68,37.59296,126.93733
신축,서울특별시 서대문구 홍제동 400 외1필지,대,110.5,65.88,158.0,2022-05-18,3,0,단독주택,다가구주택,홍제동 400,37.5871,126.94676
신축,서울특별시 서대문구 연희동 190-11,대,226.1,108.34,458.4,2022-05-09,4,1,제2종근린생활시설,사무소,연희동 190-11,37.54135,126.65988
신축,서울특별시 서대문구 남가좌동 374-3,대,161.0,96.39,297.8,2022-05-04,4,0,제2종근린생활시설,단독주택(다가구주택),남가좌동 374-3,37.57744,126.9179
신축,서울특별시 서대문구 홍은동 413-10,대,117.7,60.44,141.09,2022-04-28,3,0,단독주택,,홍은동 413-10,37.59296,126.93733
신축,서울특별시 서대문구 연희동 87-10,대,137.68,73.36,292.35,2022-04-26,3,1,단독주택,단독주택,연희동 87-10,37.54135,126.65988
신축,서울특별시 서대문구 연희동 79-41,대,513.7,277.24,770.0,2022-04-14,5,0,공동주택,도시형생활주택(단지형연립주택),연희동 79-41,37.54135,126.65988
신축,서울특별시 서대문구 남가좌동 64-65,대,76.0,39.48,125.06,2022-04-12,4,0,단독주택,,남가좌동 64-65,37.57744,126.9179
신축,서울특별시 서대문구 북아현동 1-596,대,393.0,117.64,700.96,2022-03-25,3,2,단독주택,다가구,북아현동 1-596,37.55947205,126.9552493630483
신축,서울특별시 서대문구 북아현동 189-29,대,211.6,125.68,413.98,2022-03-23,5,0,공동주택,다세대주택,북아현동 189-29,37.55947205,126.9552493630483
신축,서울특별시 서대문구 홍은동 14-22,대,136.0,75.53,177.17,2022-03-22,2,1,단독주택,,홍은동 14-22,37.59296,126.93733
신축,서울특별시 서대문구 연희동 92-2,대,267.4,128.12,406.69,2022-03-17,2,1,제1종근린생활시설,,연희동 92-2,37.54135,126.65988
신축,서울특별시 서대문구 홍제동 304-11,대,219.0,105.54,350.97,2022-03-15,5,0,공동주택,다세대주택,홍제동 304-11,37.5871,126.94676
신축,서울특별시 서대문구 연희동 118-4 외1필지,대,214.2,104.07,325.12,2022-03-10,2,1,단독주택,,연희동 118-4,37.54135,126.65988
신축,서울특별시 서대문구 대현동 110-38 외2필지,대,229.8,113.04,560.97,2022-03-07,5,0,제2종근린생활시설,"일반음식점,사무소",대현동 110-38,35.526350199999996,129.32716570682675
신축,서울특별시 서대문구 홍은동 191-37,대,143.58,76.72,149.23,2022-03-04,3,0,단독주택,,홍은동 191-37,37.59296,126.93733
신축,서울특별시 서대문구 북아현동 177-4,대,134.2,79.74,214.92,2022-02-21,3,0,제2종근린생활시설,,북아현동 177-4,37.56348,126.95426
신축,서울특별시 서대문구 북가좌동 291-5,대,150.7,88.6,244.09,2022-02-14,3,0,단독주택,다가구주택,북가좌동 291-5,37.57953,126.91156
신축,서울특별시 서대문구 창천동 97-109 외1필지,대,173.0,86.44,224.14,2022-02-11,4,0,단독주택,다가구주택,창천동 97-109,37.55844,126.93363
